lat_bin,long_bin,n
"(42.33,42.335]","(-71.075,-71.07]",554
"(42.305,42.31]","(-71.085,-71.08]",381
"(42.36,42.365]","(-71.06,-71.055]",360
"(42.32,42.325]","(-71.06,-71.055]",348
"(42.355,42.36]","(-71.055,-71.05]",345
"(42.315,42.32]","(-71.1,-71.095]",319
"(42.325,42.33]","(-71.085,-71.08]",298
"(42.365,42.37]","(-71.065,-71.06]",281
"(42.3,42.305]","(-71.09,-71.085]",262
"(42.315,42.32]","(-71.07,-71.065]",256
"(42.345,42.35]","(-71.09,-71.085]",254
"(42.305,42.31]","(-71.08,-71.075]",252
"(42.35,42.355]","(-71.06,-71.055]",235
"(42.33,42.335]","(-71.065,-71.06]",232
"(42.35,42.355]","(-71.065,-71.06]",232
"(42.33,42.335]","(-71.085,-71.08]",229
"(42.33,42.335]","(-71.08,-71.075]",229
"(42.335,42.34]","(-71.065,-71.06]",227
"(42.32,42.325]","(-71.065,-71.06]",222
"(42.34,42.345]","(-71.065,-71.06]",221
"(42.335,42.34]","(-71.08,-71.075]",215
"(42.315,42.32]","(-71.085,-71.08]",214
"(42.325,42.33]","(-71.06,-71.055]",211
"(42.31,42.315]","(-71.075,-71.07]",209
"(42.345,42.35]","(-71.095,-71.09]",209
"(42.325,42.33]","(-71.07,-71.065]",199
"(42.305,42.31]","(-71.07,-71.065]",198
"(42.31,42.315]","(-71.085,-71.08]",196
"(42.32,42.325]","(-71.055,-71.05]",189
"(42.3,42.305]","(-71.085,-71.08]",184
"(42.345,42.35]","(-71.065,-71.06]",183
"(42.32,42.325]","(-71.1,-71.095]",181
"(42.305,42.31]","(-71.06,-71.055]",180
"(42.33,42.335]","(-71.07,-71.065]",180
"(42.3,42.305]","(-71.115,-71.11]",173
"(42.35,42.355]","(-71.055,-71.05]",171
"(42.35,42.355]","(-71.135,-71.13]",169
"(42.335,42.34]","(-71.11,-71.105]",165
"(42.33,42.335]","(-71.095,-71.09]",164
"(42.38,42.385]","(-71.075,-71.07]",163
"(42.31,42.315]","(-71.08,-71.075]",161
"(42.345,42.35]","(-71.08,-71.075]",161
"(42.3,42.305]","(-71.075,-71.07]",160
"(42.335,42.34]","(-71.095,-71.09]",160
"(42.3,42.305]","(-71.08,-71.075]",159
"(42.325,42.33]","(-71.09,-71.085]",159
"(42.38,42.385]","(-71.08,-71.075]",159
"(42.325,42.33]","(-71.1,-71.095]",154
"(42.35,42.355]","(-71.08,-71.075]",154
"(42.305,42.31]","(-71.09,-71.085]",153
"(42.315,42.32]","(-71.08,-71.075]",152
"(42.335,42.34]","(-71.085,-71.08]",152
"(42.32,42.325]","(-71.075,-71.07]",151
"(42.31,42.315]","(-71.07,-71.065]",150
"(42.325,42.33]","(-71.08,-71.075]",148
"(42.355,42.36]","(-71.06,-71.055]",147
"(42.355,42.36]","(-71.075,-71.07]",143
"(42.34,42.345]","(-71.09,-71.085]",142
"(42.345,42.35]","(-71.075,-71.07]",142
"(42.345,42.35]","(-71.06,-71.055]",141
"(42.34,42.345]","(-71.085,-71.08]",137
"(42.345,42.35]","(-71.1,-71.095]",136
"(42.345,42.35]","(-71.085,-71.08]",135
"(42.35,42.355]","(-71.075,-71.07]",135
