DISTRICT,total_space,acres,green_space_per_100_acres,total_population,green_space_per_100_people
Allston-Brighton,223.22583725999996,2838.94308,7.862990943094215,86617,0.25771596483369313
Allston-Brighton,223.22583725999996,2838.94308,7.862990943094215,86617,0.25771596483369313
Back Bay/Beacon Hill,70.11691466,599.47131,11.696458777985557,28358,0.24725620516256436
Back Bay/Beacon Hill,70.11691466,599.47131,11.696458777985557,28358,0.24725620516256436
Charlestown,53.06136053,871.54122286,6.088221548015465,19268,0.27538592760016606
Dorchester,326.39460835,4662.8794573,6.999850871954473,122205,0.2670877691992963
Downtown,24.63741923,397.47284644,6.1985163139236255,15826,0.1556768559964615
East Boston,256.65833882000004,3012.05959319,8.521024597265,46220,0.5552971415404587
Fenway/Longwood,117.12688069,788.08326,14.862247002937226,47234,0.24797154738112376
Fenway/Longwood,117.12688069,788.08326,14.862247002937226,47234,0.24797154738112376
Harbor Islands,407.92447389000006,824.88865794,49.452064828811274,NA,NA
Hyde Park,692.4832863400001,2927.22116773,23.656678011692797,33239,2.083345727428623
Jamaica Plain,498.3612955,2519.24539377,19.78216559341257,42764,1.1653757728463194
Mattapan,129.2955956,1352.09835365,9.562588050711367,24130,0.5358292399502694
Mission Hill,27.16611649,350.8535636,7.742864633112709,19029,0.14276166109622154
Multi-District,411.36261542,NA,NA,NA,NA
Roslindale,36.334069830000004,1605.5682375,2.263003775322256,29256,0.12419356655045119
Roxbury,566.2498671,2108.46907176,26.85597216881796,56552,1.0012906123567689
South Boston,186.75306712000003,1439.88880731,12.969964498084549,40663,0.4592702631876645
South End,11.49402787,471.53535561,2.437574984198331,34828,0.033002262174112784
West Roxbury,673.36326709,3516.42178618,19.14910406187353,31226,2.1564185841606354
