name,acres
Roslindale,1605.5682375
Jamaica Plain,2519.24539377
Mission Hill,350.8535636
Longwood,188.61194672
Bay Village,26.53983916
Leather District,15.63990811
Chinatown,76.32440999
North End,126.91043901
Roxbury,2108.46907176
South End,471.53535561
Back Bay,399.31441106
East Boston,3012.05959319
Charlestown,871.54122286
West End,190.4907324
Beacon Hill,200.15690397
Downtown,397.47284644
Fenway,560.61846143
Brighton,1840.40859627
West Roxbury,3516.42178618
Hyde Park,2927.22116773
Mattapan,1352.09835365
Dorchester,4662.8794573
South Boston Waterfront,621.84352373
South Boston,1439.88880731
Allston,998.53447869
Harbor Islands,824.88865794
Allston-Brighton,2838.94308
Back Bay/Beacon Hill,599.47131
Fenway/Longwood,788.08326
