x1,total_population
Allston,31514
Back Bay,19081
Beacon Hill,9277
Brighton,55103
Charlestown,19268
Chinatown,6337
Dorchester,122205
Downtown,15826
East Boston,46220
Fenway,41683
Hyde Park,33239
Jamaica Plain,42764
Longwood,5551
Mattapan,24130
Mission Hill,19029
North End,10675
Roslindale,29256
Roxbury,56552
South Boston,40663
South Boston Waterfront,7910
South End,34828
West End,9288
West Roxbury,31226
Allston-Brighton,86617
Back Bay/Beacon Hill,28358
Fenway/Longwood,47234
Allston-Brighton,86617
Back Bay/Beacon Hill,28358
Fenway/Longwood,47234
