SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Wilson Park,City of Boston,NA,1,Allston-Brighton,0.09718371,10 Wilson Park,Open Space District,"Malls, Squares & Plazas",PWD,BPRD,N,X,NA,PWD,NA,PARK_Maintenance_Region 4,2000,YES,02135,2102093500,0,NA,NA,8.68752904593e-4,4.2964839e-8,NA
James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.0041349,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Hooker-Sorrento Street Playground; Roberts Playground,BPRD,156,PARK_Maintenance_Region 4,156,YES,02134,2200030000,0,NA,NA,0.00276645580217,4.4405681e-7,NA
Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.02521889,235 Western Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,William F. Smith Playground; North Brighton Playground,BPRD,284,PARK_Maintenance_Region 4,284,YES,02134,2200542000,1894,NA,NA,0.011216155134474,6.645157199e-6,NA
Fern Square,City of Boston,A97,1,Allston-Brighton,0.04450912,1 Fern Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"James F. Collins Square, Franklin Square",BPRD,115,PARK_Maintenance_Region 4,115,YES,02134,2201194000,0,NA,NA,6.72302150916e-4,1.9683207e-8,NA
Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.26308381,85 Allston Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Stanley A. Ringer Playground,BPRD,259,PARK_Maintenance_Region 4,259,YES,"02134, 02135",2101101000,1916,NA,NA,0.012526446598524,4.537983926e-6,NA
McKinney Playground,City of Boston,A97/USH,3,Allston-Brighton,5.89186126,74 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,193,PARK_Maintenance_Region 4,193,YES,02135,2202540000,1930,NA,NA,0.006924114855163,2.605351444e-6,NA
Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.80891273,85 Hobart Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,154,PARK_Maintenance_Region 4,154,YES,02135,2202935000,1970,NA,NA,0.002445550512477,3.57702489e-7,"MULTIPOLYGON (((-71.161016076999942 42.356046263000053, -71.161443334999944 42.356116123000049, -71.161532878999935 42.355759964000072, -71.161623722999934 42.355410110000037, -71.161082385999975 42.355314976000045, -71.161016076999942 42.356046263000053)))"
Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39538015,380 Market Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,188,PARK_Cemetery Maintenance Request,188,YES,02135,2202372000,1764,NA,NA,0.00176912377972,1.7482317e-7,"MULTIPOLYGON (((-71.152012835999983 42.350596933000077, -71.152455938999935 42.350624111000059, -71.152676389999954 42.350285279000047, -71.152373747999945 42.350274641000055, -71.152098772999977 42.350264897000045, -71.152012835999983 42.350596933000077)))"
Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12032316,58 Chestnut Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,162,PARK_Maintenance_Region 4,162,YES,02135,2102849000,0,NA,NA,8.71358697336e-4,5.3199101e-8,NA
Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.93136467,355 Chestnut Hill Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3000,YES,02135,NA,0,NA,NA,0.008311602647853,3.064135437e-6,NA
Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48183071,2200 Commonwealth Avenue,Institutional District,"Malls, Squares & Plazas",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3001,YES,02467,NA,0,NA,NA,0.001877775947482,2.13012293e-7,NA
Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.48819288,2060 Commonwealth Avenue,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,110,PARK_Cemetery Maintenance Request,110,YES,02135,"2102444000,2102444001,2102443001",1848,NA,NA,0.01286868501636,9.057495412e-6,NA
Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47314994,380 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,PFC Kevin B. Hardiman Playground; Tar Park,BPRD,143,PARK_Maintenance_Region 4,143,YES,02135,2203801020,1948,NA,NA,0.003489442913872,6.51384414e-7,"MULTIPOLYGON (((-71.165695361999951 42.351016009000034, -71.165679121999972 42.351126427000054, -71.165660560999981 42.351239540000051, -71.165643114999966 42.351348243000075, -71.165627000999962 42.351457762000052, -71.165609550999989 42.351567276000026, -71.165581009999983 42.351754362000065, -71.166311227999984 42.351541765000036, -71.166733620999935 42.351401285000065, -71.166799148999985 42.351035238000065, -71.165705302999982 42.350949237000066, -71.165695361999951 42.351016009000034)))"
Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17184062,30 Rogers Park Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Thomas Galvin Park; Rogers-Galvin Park; Galvin Ball Fields,BPRD,267,PARK_Maintenance_Region 4,267,YES,02135,2205190000,1899,NA,NA,0.008708357921504,3.61314452e-6,NA
