neighborhood,total_space,acres,trees_per_100_acres,total_population,trees_per_100_people
Allston-Brighton,4699,2838.94308,165.5193453191742,86617,5.425032037590773
Back Bay/Beacon Hill,3212,599.47131,535.8054583129258,28358,11.326609775019394
Charlestown,1986,871.54122286,227.87218182094193,19268,10.307245173344405
Dorchester,6561,4662.8794573,140.70704722440092,122205,5.368847428501288
Downtown,1953,397.47284644,491.3543195446466,15826,12.340452420068242
East Boston,3434,3012.05959319,114.00836848527067,46220,7.429684119428819
Fenway/Longwood,3958,788.08326,502.2311982619704,47234,8.379557098700088
Hyde Park,1743,2927.22116773,59.54452704889602,33239,5.243840067390716
Jamaica Plain,3208,2519.24539377,127.33971878774749,42764,7.501636890842765
Mattapan,1841,1352.09835365,136.15873394344473,24130,7.629506837961045
Mission Hill,631,350.8535636,179.8471115771218,19029,3.3159913815754902
Roslindale,2415,1605.5682375,150.41403682476624,29256,8.254716981132075
Roxbury,3509,2108.46907176,166.42406791724653,56552,6.20490875654265
South Boston,3225,1439.88880731,223.97562809207082,40663,7.931042962890096
South End,3146,471.53535561,667.1822086236117,34828,9.032961984610084
West Roxbury,4170,3516.42178618,118.58645673248438,31226,13.35425606866073
