id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,address,street,suffix,site,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
400,Honeylocust,Gleditsia triacanthos,1,6-12in,8,--,Boston,South Boston,67,Thomas Park,A,1,-71.0449982,42.3322639,POINT (-71.044999999999959 42.332264000000066),-71.04499999999996,42.332264000000066
401,Ginkgo,Ginkgo biloba,1,6-12in,6,--,Boston,Mission Hill,47,McGreevey Way,A,1,-71.0983353,42.3352013,POINT (-71.098334999999963 42.335200000000043),-71.09833499999996,42.33520000000004
2005,Honeylocust,Gleditsia triacanthos,1,6-12in,11,--,Boston,Roxbury,29,Centre Street,-45,1,-71.0939102,42.3294258,POINT (-71.093909999999937 42.329426000000069),-71.09390999999994,42.32942600000007
402,"Linden, Littleleaf",Tilia cordata,1,0-3in,2,--,Boston,Dorchester,121,Norfolk Street,-123,1,-71.0773087,42.288208,POINT (-71.077309999999954 42.288208000000054),-71.07730999999995,42.288208000000054
403,"Linden, Littleleaf",Tilia cordata,1,18-24in,22,--,Boston,South End,150,Appleton Street,NA,1,-71.0757141,42.3448181,POINT (-71.075713999999948 42.344820000000027),-71.07571399999995,42.34482000000003
404,"Planetree, London",Platanus x acerifolia,1,12-18in,12,--,Boston,Mission Hill,57,Smith Street,A,1,-71.0997391,42.3341751,POINT (-71.09973999999994 42.334175000000073),-71.09973999999994,42.33417500000007
405,"Linden, Littleleaf",Tilia cordata,1,18-24in,22,--,Boston,South End,1,Aguadilla Street,NA,4,-71.0740356,42.3418617,POINT (-71.074035999999978 42.341860000000054),-71.07403599999998,42.341860000000054
2006,"Pagoda Tree, Japanese",Sophora japonica,1,3-6in,4,--,Boston,Roxbury,132,Warren Street,-132A,2,-71.0831833,42.3262634,POINT (-71.08317999999997 42.32626300000004),-71.08317999999997,42.32626300000004
513,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,1981,Dorchester Avenue,-1987,1,-71.065094,42.2831726,POINT (-71.065093999999988 42.283173000000033),-71.06509399999999,42.28317300000003
514,Ginkgo,Ginkgo biloba,1,6-12in,7,--,--,Central Boston,34,West Lincoln Street,NA,2,-71.0586166,42.3519287,POINT (-71.058619999999962 42.351930000000038),-71.05861999999996,42.35193000000004
