lon,lat,n
-87.551994147,41.7559614313,4
-87.5590602859,41.727560391,1
-87.5601889949,41.7535307093,3
-87.5628473838,41.7584079022,5
-87.5635848124,41.7646425154,1
-87.5636925942,41.7444906426,1
-87.5658238794,41.7686011013,2
-87.571298655,41.7607504457,1
-87.5726073052,41.7468832529,1
-87.5739519554,41.7697847237,4
-87.5790888158,41.7419428604,1
-87.5799482481,41.7761636931,1
-87.5813495087,41.7696904664,4
-87.5823657023,41.7971534246,2
-87.5831437169,41.7905062613,4
-87.5853031602,41.8012268363,2
-87.5874792581,41.8059116993,2
-87.5893233661,41.7696482642,2
-87.5896070309,41.7979652088,5
-87.5902857319,41.7621651218,2
-87.5904311285,41.7904478989,1
-87.5935612875,41.8132012947,1
-87.5941966274,41.7980417164,1
-87.5943479846,41.8060217045,1
-87.5949330919,41.7146749464,2
-87.5989445134,41.7979711911,1
-87.5993944745,41.7662994252,1
-87.5994629948,41.6502216756,1
-87.600092686,41.7008887972,1
-87.6002973118,41.7550627172,1
-87.6006915709,41.8204569069,1
-87.6011081642,41.740997711,1
-87.6012851221,41.7904693995,1
-87.6013151779,41.748623179,1
-87.6032571641,41.776910545,1
-87.6032655099,41.7317897369,1
-87.6035588871,41.783170859,2
-87.6037457654,41.7978270187,2
-87.6040586249,41.8059249688,1
-87.6042092221,41.813200941,2
-87.6090062203,41.7286693305,1
-87.6101685859,41.7548461015,1
-87.6103458371,41.7621423146,2
-87.6108347373,41.8346735981,3
-87.6109393487,41.7921360843,1
-87.6116848803,41.8140038222,2
-87.6125639471,41.8416911186,3
-87.6129454143,41.8919715078,15
-87.6132286335,41.7179672564,1
-87.6153264942,41.7032802648,1
-87.6173580061,41.859349715,51
-87.6183216222,41.7911260852,1
-87.6188683546,41.8909220259,45
-87.6192895188,41.8340973906,2
-87.6197106717,41.8950334495,50
-87.6200146997,41.7619610796,2
-87.6205583422,41.7828634535,1
-87.6207628651,41.8983317935,28
-87.6209929134,41.8849871918,61
-87.6212199892,41.8038507848,1
-87.6219716519,41.8774061234,28
-87.6221729369,41.8706073724,16
-87.6221973414,41.7865020374,1
-87.6231795767,41.7910416602,1
-87.6241352979,41.8492467545,12
-87.6261455896,41.9027880476,13
-87.6262105324,41.8991556134,20
-87.6262149064,41.8925077809,56
-87.6266589003,41.9075200747,7
-87.6283572537,41.7179636757,1
-87.6288741572,41.8920726347,22
-87.6291051864,41.9002212967,11
-87.6295663156,41.7275849467,1
-87.6298717446,41.7617023786,4
