dropoff_centroid_location,counta_of_pickup_census_tract
NA,3
-87.551994147 41.7559614313,3
-87.5590602859 41.727560391,1
-87.5601889949 41.7535307093,3
-87.5628473838 41.7584079022,2
-87.5635848124 41.7646425154,1
-87.5636925942 41.7444906426,1
-87.571298655 41.7607504457,1
-87.5739519554 41.7697847237,1
-87.5813495087 41.7696904664,1
-87.5823657023 41.7971534246,1
-87.5831437169 41.7905062613,1
-87.5853031602 41.8012268363,1
-87.5874792581 41.8059116993,1
-87.5893233661 41.7696482642,1
-87.5896070309 41.7979652088,1
-87.5902857319 41.7621651218,2
-87.5904311285 41.7904478989,1
-87.5935612875 41.8132012947,1
-87.5941966274 41.7980417164,1
-87.5993944745 41.7662994252,1
-87.5994629948 41.6502216756,1
-87.600092686 41.7008887972,1
-87.6011081642 41.740997711,1
-87.6032571641 41.776910545,1
-87.6037457654 41.7978270187,2
-87.6090062203 41.7286693305,1
-87.6101685859 41.7548461015,1
-87.6103458371 41.7621423146,1
-87.6108347373 41.8346735981,3
-87.6109393487 41.7921360843,1
-87.6116848803 41.8140038222,2
-87.6125639471 41.8416911186,2
-87.6129454143 41.8919715078,6
-87.6153264942 41.7032802648,1
-87.6173580061 41.859349715,24
-87.6183216222 41.7911260852,1
-87.6188683546 41.8909220259,14
-87.6197106717 41.8950334495,24
-87.6200146997 41.7619610796,1
-87.6207628651 41.8983317935,10
-87.6209929134 41.8849871918,28
-87.6212199892 41.8038507848,1
-87.6219716519 41.8774061234,9
-87.6221729369 41.8706073724,7
-87.6221973414 41.7865020374,1
-87.6241352979 41.8492467545,7
-87.6261455896 41.9027880476,9
-87.6262105324 41.8991556134,4
-87.6262149064 41.8925077809,24
-87.6266589003 41.9075200747,1
-87.6283572537 41.7179636757,1
-87.6288741572 41.8920726347,11
-87.6291051864 41.9002212967,5
-87.6295663156 41.7275849467,1
-87.6298717446 41.7617023786,3
-87.6300448953 41.7424875717,1
-87.6305800611 41.8612808467,1
-87.6308650266 41.9058577688,11
-87.630963601 41.9094956686,2
-87.6314065252 41.8710158803,4
-87.6317173661 41.9146162864,8
-87.6318639497 41.8920421365,30
-87.6321092196 41.9002656868,3
-87.632184554 41.7544341714,1
-87.632245255 41.8018227527,1
-87.6327464887 41.8809944707,23
-87.6341560931 41.922082541,7
-87.6346478774 41.9346504482,3
-87.6350918563 41.8510178239,1
-87.6357600901 41.9074919303,4
-87.6378442095 41.8932163595,18
-87.6384040116 41.9015669095,1
-87.6385749205 41.9383912577,2
-87.6398538587 41.9347624564,1
-87.640698076 41.9431550855,1
-87.6409015248 41.9074128162,5
-87.6414597588 41.9217783562,1
-87.6414915334 41.897983898,1
-87.6422063127 41.9305785697,2
-87.6426052473 41.9268111821,3
-87.642648998 41.8792550844,14
-87.6428084655 41.8853000224,10
-87.6429586652 41.8679024175,4
-87.6430228044 41.9345397158,2
-87.6434709559 41.9432371225,4
-87.6439653703 41.949829346,7
-87.644209287 41.856309817,3
-87.6450896352 41.7836333784,1
-87.6451004847 41.7906684244,1
-87.6453787624 41.962178629,8
-87.6459662069 41.9145857091,2
-87.6460070664 41.9534000435,4
-87.6462109769 41.9218549112,3
-87.6462934762 41.9290776551,5
-87.6467297286 41.9346591566,4
-87.6467820813 41.938232293,3
-87.6470785093 41.942577185,8
-87.647113634 41.946489764,1
-87.6485823365 41.7396448282,1
-87.6486268165 41.8270879119,1
-87.6488131191 41.7478369814,1
-87.6499072264 41.9049353016,3
-87.6502900743 41.9729293173,6
-87.6510618838 41.9217781876,4
-87.6513108767 41.9290469366,9
-87.6515625922 41.9363101308,3
-87.6516929533 41.8162234797,1
-87.6517705068 41.9426918444,13
-87.6519703953 41.9492209135,5
