lon,lat,n
-87.5466953298,41.7493156702,5
-87.5470098641,41.7413866268,1
-87.548564529,41.7319988447,2
-87.5499633239,41.7131775612,1
-87.551994147,41.7559614313,8
-87.5590602859,41.727560391,1
-87.5601889949,41.7535307093,4
-87.5628473838,41.7584079022,1
-87.5635848124,41.7646425154,3
-87.5636925942,41.7444906426,1
-87.5658238794,41.7686011013,5
-87.5713420299,41.7643597021,4
-87.5726073052,41.7468832529,1
-87.5739519554,41.7697847237,4
-87.5748881668,41.7157609069,2
-87.5790888158,41.7419428604,1
-87.5799482481,41.7761636931,19
-87.5811855611,41.7606410373,1
-87.5812710169,41.7642434593,6
-87.5813495087,41.7696904664,24
-87.5823657023,41.7971534246,92
-87.582630304,41.7830341779,2
-87.5831437169,41.7905062613,308
-87.5836072899,41.7555681774,11
-87.5853031602,41.8012268363,105
-87.5874792581,41.8059116993,122
-87.5893233661,41.7696482642,5
-87.5896070309,41.7979652088,459
-87.5902857319,41.7621651218,3
-87.5904311285,41.7904478989,127
-87.5917077725,41.7458424102,2
-87.5935368954,41.7834599172,177
-87.5935612875,41.8132012947,1
-87.5940154442,41.7905666284,340
-87.5941966274,41.7980417164,166
-87.5942656985,41.8016710371,14
-87.5943479846,41.8060217045,129
-87.5949330919,41.7146749464,1
-87.5963032107,41.7769506664,30
-87.5964755956,41.7281820611,1
-87.5986973707,41.7832245177,250
-87.5989445134,41.7979711911,117
-87.5991989847,41.8059784054,49
-87.5993944745,41.7662994252,2
-87.599476602,41.8130413823,4
-87.600092686,41.7008887972,2
-87.6002973118,41.7550627172,3
-87.6006915709,41.8204569069,2
-87.6011081642,41.740997711,2
-87.6012851221,41.7904693995,1580
-87.6013151779,41.748623179,1
-87.6017598207,41.8015328005,18
-87.6032571641,41.776910545,3
-87.6035588871,41.783170859,73
-87.6037457654,41.7978270187,116
-87.6040586249,41.8059249688,11
-87.6042092221,41.813200941,8
-87.6053716267,41.6893165995,2
-87.6084265019,41.7831007248,8
-87.6089492784,41.8067652712,11
-87.6100749663,41.7482105124,2
-87.6101001049,41.8201978877,11
-87.6103458371,41.7621423146,2
-87.6106933,41.7766915396,2
-87.6108347373,41.8346735981,25
-87.6109393487,41.7921360843,9
-87.6116848803,41.8140038222,5
-87.6125639471,41.8416911186,9
