trip_minutes_rounded,n
0,1
3,1
5,1
6,25
7,243
8,867
9,1963
10,3601
11,4865
12,5671
13,5620
14,5588
15,4823
16,4560
17,4007
18,3879
19,3562
20,3766
21,3771
22,4136
23,4669
24,5372
25,6523
26,7831
27,8992
28,10159
29,10655
30,11780
31,11751
32,12326
33,11491
34,12036
35,11412
36,11517
37,10548
38,10458
39,9718
40,9318
41,8474
42,7934
43,7226
44,6845
45,6124
46,5780
47,4885
48,4710
49,3948
50,3715
51,3344
52,3120
53,2687
54,2482
55,2219
56,2071
57,1804
58,1644
59,1510
60,1264
61,1127
62,1013
63,895
64,808
65,658
66,637
67,492
68,465
69,396
70,379
71,350
72,301
73,296
74,262
75,180
76,173
77,157
78,172
79,159
80,114
81,107
82,111
83,90
84,101
85,64
86,88
87,70
88,87
89,75
90,66
91,67
92,65
93,58
94,57
95,47
96,44
97,52
98,43
99,50
100,31
101,25
102,29
103,29
104,25
105,32
106,28
107,16
108,18
109,14
110,15
111,8
112,10
113,9
114,14
115,8
116,8
117,2
118,5
119,7
120,4
121,8
122,4
123,2
124,4
125,3
126,4
129,2
130,2
131,6
132,2
133,1
135,1
137,1
138,1
140,1
141,1
142,1
143,2
144,2
145,2
156,1
158,1
160,1
167,1
172,1
178,1
188,1
