start_time,n
00:00:00,2546
00:15:00,2686
00:30:00,2864
00:45:00,2777
01:00:00,2833
01:15:00,2451
01:30:00,1948
01:45:00,1596
02:00:00,1290
02:15:00,996
02:30:00,697
02:45:00,440
03:00:00,335
03:15:00,186
03:30:00,149
03:45:00,69
04:00:00,123
04:15:00,107
04:30:00,142
04:45:00,127
05:00:00,220
05:15:00,243
05:30:00,298
05:45:00,228
06:00:00,431
06:15:00,474
06:30:00,647
06:45:00,623
07:00:00,889
07:15:00,1247
07:30:00,1870
07:45:00,2677
08:00:00,4422
08:15:00,5280
08:30:00,5527
08:45:00,5453
09:00:00,5669
09:15:00,5681
09:30:00,5362
09:45:00,4883
10:00:00,4554
10:15:00,4740
10:30:00,4851
10:45:00,4441
11:00:00,4408
11:15:00,4609
11:30:00,5024
11:45:00,4963
12:00:00,5995
12:15:00,6070
12:30:00,5400
12:45:00,4798
13:00:00,5181
13:15:00,5272
13:30:00,5115
13:45:00,4217
14:00:00,4681
14:15:00,4516
14:30:00,4251
14:45:00,4054
15:00:00,4992
15:15:00,5428
15:30:00,5551
15:45:00,4854
16:00:00,5272
16:15:00,5326
16:30:00,5469
16:45:00,5684
17:00:00,6487
17:15:00,6793
17:30:00,5837
17:45:00,5072
18:00:00,4899
18:15:00,4768
18:30:00,4636
18:45:00,4328
19:00:00,4103
19:15:00,3749
19:30:00,3296
19:45:00,3160
20:00:00,3081
20:15:00,3128
20:30:00,3108
20:45:00,3078
21:00:00,3167
21:15:00,3674
21:30:00,3698
21:45:00,3971
22:00:00,3900
22:15:00,3964
22:30:00,4145
22:45:00,4197
23:00:00,4116
23:15:00,3745
23:30:00,3041
23:45:00,2719
