start_time,n
00:00:00,326
00:15:00,269
00:30:00,189
00:45:00,118
01:00:00,84
01:15:00,50
01:30:00,41
01:45:00,38
02:00:00,20
02:15:00,7
02:30:00,2
02:45:00,4
03:00:00,26
03:15:00,13
03:30:00,65
03:45:00,42
04:00:00,105
04:15:00,95
04:30:00,136
04:45:00,123
05:00:00,215
05:15:00,221
05:30:00,272
05:45:00,192
06:00:00,341
06:15:00,328
06:30:00,352
06:45:00,268
07:00:00,449
07:15:00,395
07:30:00,398
07:45:00,374
08:00:00,631
08:15:00,695
08:30:00,660
08:45:00,465
09:00:00,526
09:15:00,464
09:30:00,667
09:45:00,547
10:00:00,828
10:15:00,948
10:30:00,972
10:45:00,1005
11:00:00,1597
11:15:00,1552
11:30:00,1817
11:45:00,1993
12:00:00,3003
12:15:00,3044
12:30:00,2548
12:45:00,2148
13:00:00,2594
13:15:00,2384
13:30:00,2154
13:45:00,1855
14:00:00,2548
14:15:00,2451
14:30:00,2263
14:45:00,2248
15:00:00,3104
15:15:00,3535
15:30:00,3770
15:45:00,3368
16:00:00,3728
16:15:00,3835
16:30:00,3809
16:45:00,4142
17:00:00,4831
17:15:00,5038
17:30:00,4155
17:45:00,3538
18:00:00,3518
18:15:00,3506
18:30:00,3363
18:45:00,3061
19:00:00,2807
19:15:00,2496
19:30:00,1984
19:45:00,1943
20:00:00,1723
20:15:00,1750
20:30:00,1627
20:45:00,1539
21:00:00,1626
21:15:00,2080
21:30:00,2042
21:45:00,2191
22:00:00,1937
22:15:00,2034
22:30:00,2282
22:45:00,2237
23:00:00,2158
23:15:00,1810
23:30:00,1129
23:45:00,652
