start_time,n
00:00:00,2220
00:15:00,2417
00:30:00,2675
00:45:00,2659
01:00:00,2749
01:15:00,2401
01:30:00,1907
01:45:00,1558
02:00:00,1270
02:15:00,989
02:30:00,695
02:45:00,436
03:00:00,309
03:15:00,173
03:30:00,84
03:45:00,27
04:00:00,18
04:15:00,12
04:30:00,6
04:45:00,4
05:00:00,5
05:15:00,22
05:30:00,26
05:45:00,36
06:00:00,90
06:15:00,146
06:30:00,295
06:45:00,355
07:00:00,440
07:15:00,852
07:30:00,1472
07:45:00,2303
08:00:00,3791
08:15:00,4585
08:30:00,4867
08:45:00,4988
09:00:00,5143
09:15:00,5217
09:30:00,4695
09:45:00,4336
10:00:00,3726
10:15:00,3792
10:30:00,3879
10:45:00,3436
11:00:00,2811
11:15:00,3057
11:30:00,3207
11:45:00,2970
12:00:00,2992
12:15:00,3026
12:30:00,2852
12:45:00,2650
13:00:00,2587
13:15:00,2888
13:30:00,2961
13:45:00,2362
14:00:00,2133
14:15:00,2065
14:30:00,1988
14:45:00,1806
15:00:00,1888
15:15:00,1893
15:30:00,1781
15:45:00,1486
16:00:00,1544
16:15:00,1491
16:30:00,1660
16:45:00,1542
17:00:00,1656
17:15:00,1755
17:30:00,1682
17:45:00,1534
18:00:00,1381
18:15:00,1262
18:30:00,1273
18:45:00,1267
19:00:00,1296
19:15:00,1253
19:30:00,1312
19:45:00,1217
20:00:00,1358
20:15:00,1378
20:30:00,1481
20:45:00,1539
21:00:00,1541
21:15:00,1594
21:30:00,1656
21:45:00,1780
22:00:00,1963
22:15:00,1930
22:30:00,1863
22:45:00,1960
23:00:00,1958
23:15:00,1935
23:30:00,1912
23:45:00,2067
